episode,episode_reward,game_score,max_tile,episode_length,epsilon,loss
143,1447.08,1236,128,148,0.902355,7.586563
144,684.24,616,64,101,0.901865,8.011027
145,559.2,476,32,78,0.901487,7.182575
146,1425.52,1200,128,139,0.900813,7.286137
147,1109.28,1036,64,159,0.900041,8.576402
148,1141.2,1032,128,132,0.899401,6.995419
149,2532.92,2184,256,237,0.898252,11.065059
150,2014.52,1756,128,224,0.897165,9.569118
151,1428.72,1264,128,153,0.896423,10.441308
152,620.12,532,64,84,0.896016,7.723602
153,1538.76,1332,128,158,0.89525,8.928625
154,513.8,444,64,71,0.894905,8.426829
155,1639.08,1352,128,158,0.894139,7.301784
156,391.24,352,32,77,0.893766,9.475519
157,524.92,444,32,80,0.893378,9.783224
158,919.36,780,64,122,0.892786,9.320608
159,1551.88,1324,128,155,0.892034,9.755487
160,338.44,296,32,67,0.891709,9.510548
161,1318.56,1184,128,155,0.890957,10.304774
162,1678.4,1412,128,178,0.890094,9.893568
163,713.56,628,64,106,0.88958,8.84024
164,651.04,584,64,104,0.889076,6.902159
165,349.2,324,32,75,0.888712,8.181194
166,1586.76,1352,128,168,0.887897,9.074167
167,1270.4,1076,128,127,0.887281,9.647625
168,1162.8,1004,128,126,0.88667,9.890794
169,1677.44,1452,128,185,0.885773,8.221933
170,887.44,736,64,106,0.885259,11.597498
171,774.76,652,64,95,0.884798,8.69
172,814.6,732,64,116,0.884235,7.779663
173,1798.56,1540,128,178,0.883372,10.913255
174,706.76,604,64,98,0.882897,7.865045
175,821.4,728,64,112,0.882354,11.949453
176,950.72,788,64,111,0.881815,10.182096
177,1200.52,1056,64,145,0.881112,8.324169
178,1639.6,1332,128,157,0.880351,10.163571
179,1177.76,1020,64,139,0.879676,10.170203
180,1731.8,1444,128,178,0.878813,8.808748
181,881.88,804,64,133,0.878168,10.35048
182,1519.0,1292,128,152,0.877431,8.123827
183,1889.92,1560,128,193,0.876495,10.72582
184,1534.56,1268,128,145,0.875792,8.604406
185,326.76,280,32,62,0.875491,8.039948
186,933.36,796,64,116,0.874928,8.502481
187,820.84,740,64,115,0.87437,9.719249
188,1174.64,996,128,122,0.873779,9.891647
189,746.88,616,64,97,0.873308,10.512547
190,1950.4,1688,128,198,0.872348,9.762158
191,1346.48,1140,128,157,0.871587,10.160107
192,629.0,536,64,86,0.871169,9.213224
193,1261.08,1100,128,141,0.870486,9.919006
194,1225.6,1068,128,136,0.869826,7.567386
195,1884.92,1628,128,203,0.868841,9.163957
196,765.8,676,64,107,0.868322,8.888248
197,1588.56,1384,128,174,0.867479,11.497246
198,1196.16,1060,128,140,0.8668,9.045888
199,985.28,828,64,111,0.866261,8.871399
200,1876.0,1644,128,194,0.86532,8.132224
201,1251.76,1100,128,153,0.864578,9.113802
202,612.8,540,64,84,0.864171,11.727816
203,1216.28,1012,128,122,0.863579,7.852612
204,1319.12,1148,128,151,0.862847,9.433502
205,528.68,484,64,83,0.862444,11.736534
206,1446.92,1316,128,169,0.861625,9.747808
207,1527.16,1324,128,153,0.860883,8.361076
208,1515.32,1324,128,166,0.860078,11.740601
209,984.2,868,64,124,0.859476,10.535286
210,1275.04,1136,128,152,0.858739,6.658953
211,761.96,708,64,127,0.858123,9.454857
212,879.52,760,64,104,0.857619,8.733747
213,824.28,688,64,100,0.857134,7.611316
214,772.6,712,64,121,0.856547,8.905413
215,1404.68,1276,128,173,0.855708,9.145216
216,1720.16,1432,128,173,0.854869,7.822703
217,1205.64,1032,128,125,0.854262,11.083973
218,1528.32,1256,128,153,0.85352,10.315626
219,971.36,840,64,129,0.852895,9.248391
220,625.2,544,64,91,0.852453,9.752486
221,730.92,612,64,95,0.851993,7.163364
222,1709.2,1588,128,219,0.85093,9.198798
223,1335.4,1172,64,153,0.850188,11.08394
224,1484.12,1280,128,158,0.849422,8.342498
225,2036.8,1760,128,209,0.848408,6.783514
226,1313.28,1144,128,137,0.847744,11.775613
227,1424.88,1228,128,152,0.847007,8.579063
228,1223.36,1140,128,162,0.846221,10.973433
229,1079.76,920,64,129,0.845595,10.558524
230,1510.72,1320,128,171,0.844766,12.177182
231,821.92,688,64,99,0.844286,9.737263
232,310.56,244,32,54,0.844024,9.556285
233,1594.72,1388,128,171,0.843195,9.852449
234,522.36,436,32,78,0.842816,11.003706
235,649.0,528,64,77,0.842443,8.445743
236,1164.04,1060,64,160,0.841667,12.076931
237,569.0,468,64,75,0.841303,9.813505
238,1539.2,1308,128,155,0.840551,8.860194
239,694.12,556,64,88,0.840125,13.743517
240,3088.6,2488,256,236,0.83898,11.833395
241,1565.32,1312,128,156,0.838223,10.319771
242,770.56,672,64,104,0.837719,11.643129
243,1686.04,1440,128,177,0.836861,9.532409
244,993.6,900,64,123,0.836264,9.351077
245,1374.08,1148,128,146,0.835556,8.461247
246,1460.8,1244,128,151,0.834824,11.669876
247,1791.76,1472,128,174,0.83398,8.812417
248,1713.92,1424,128,175,0.833131,10.682202
249,506.96,448,32,82,0.832733,9.037722
