episode,episode_reward,game_score,max_tile,episode_length,epsilon,loss
1,599.6,536,64,80,0.848,9.646029
2,492.04,476,64,80,0.696,7.87552
3,626.34,564,64,80,0.544,10.578327
4,616.14,568,64,80,0.392,4.543178
5,220.04,184,32,41,0.3141,5.842345
